ALCH_000.04,DuelSaviorDestiny
SCAJ_250.04,Kingdom_Hearts_-_Final_Mix
SCAJ_250.26,Nightshade
SCAJ_250.37,Astro_Boy
SCAJ_250.47,Blood_Will_Tell
SCAJ_300.01,Xenosaga_-_Episode_I_-_Der_Wille_zur_Macht
SCAJ_300.03,Forbidden_Siren
SCAJ_300.05,Ape_Escape_-_Pumped_and_Primed
SCAJ_300.06,Gran_Turismo_4
SCAJ_300.07,Gran_Turismo_4
SCAJ_300.08,Gran_Turismo_4
SCAJ_300.10,God_of_War
SCAJ_300.11,God_of_War2
SCAJ_974.81,God_of_War2
SCCS_400.01,Ape_Escape_2
SCCS_400.02,Devil_May_Cry_2
SCCS_400.03,Devil_May_Cry_2
SCCS_400.05,Ico
SCCS_400.07,Arc_the_Lad_-_Twilight_of_the_Spirits
SCCS_400.09,DragonBall_Z_-_Budokai_2
SCCS_400.11,Armored_Core_2_-_Another_Age
SCCS_400.12,Virtua_Fighter_4_-_Evolution
SCCS_400.14,Pro_Evolution_Soccer_3
SCCS_400.16,Ape_Escape_-_Pumped_and_Primed
SCCS_600.02,Gran_Turismo_4
SCED_500.41,Tekken_Tag_Tournament
SCED_506.14,Jak_and_Daxter_-_The_Precursor_Legacy
SCED_506.60,DropshipUnitedPeaceForce
SCED_508.44,Ico
SCED_509.07,Final_Fantasy_X
SCED_509.16,Ratchet_and_Clank
SCED_510.75,Ratchet_and_Clank
SCED_511.20,Tekken_4
SCED_513.14,Kingdom_Hearts
SCED_513.51,The_Getaway
SCED_513.66,Ape_Escape_2
SCED_514.05,Space_Channel_5_-_Part_2
SCED_514.52,Sly_Cooper_and_the_Thievius_Raccoonus
SCED_516.92,SOCOM_-_U.S._Navy_SEALs
SCED_517.00,Jak_II
SCED_519.05,Amplitude
SCED_519.22,Ghosthunter
SCED_520.49,Dogs_Life
SCED_522.60,Forbidden_Siren
SCED_523.11,I-Ninja
SCED_525.78,Gran_Turismo_4
SCED_526.81,Gran_Turismo_4
SCED_527.59,Killzone
SCED_528.41,Jackie_Chan_Adventures
SCED_528.46,Killzone
SCED_528.47,Ratchet_and_Clank_-_Up_Your_Arsenal
SCED_528.48,Ratchet_and_Clank_-_Up_Your_Arsenal
SCED_528.99,Killzone
SCED_529.52,Jak_III
SCED_530.81,Ace_Combat_5_-_The_Unsung_War
SCED_531.15,Ace_Combat_5_-_The_Unsung_War
SCED_534.31,God_of_War
SCED_535.38,Tekken_5
SCED_536.22,24_-_The_Game
SCED_536.60,Ratchet_-_Deadlocked
SCED_537.33,Genji_-_Dawn_of_the_Samurai
SCED_538.02,Sly_3_-_Honor_Amongst_Thieves
SCED_539.62,Shadow_of_the_Colossus
SCED_539.90,Shadow_of_the_Colossus
SCED_541.90,Forbidden_Siren_2
SCED_546.80,God_of_War2
SCEE_503.54,Klonoa_2_-_Lunateas_Veil
SCES_500.01,Tekken_Tag_Tournament
SCES_500.03,Dead_or_Alive_2
SCES_500.06,Drakan_Ancients_Gates
SCES_500.11,FIFA_2001
SCES_500.12,FIFA_2001
SCES_500.13,FIFA_2001
SCES_500.14,FIFA_2001
SCES_500.15,FIFA_2001
SCES_500.16,FIFA_2001
SCES_500.30,SSX
SCES_500.38,GradiusIIIAndIV
SCES_500.44,Rayman_Revolution
SCES_500.48,Disneys_-_Donald_Duck_-_Goin_Quackers
SCES_500.51,EternalRing
SCES_500.53,Aqua_Aqua
SCES_500.62,Orphen_-_Scion_of_Sorcery
SCES_500.72,Street_Fighter_-_EX3
SCES_500.73,Driving_Emotion_TypeS
SCES_500.74,Unreal_Tournament
SCES_500.78,TimeSplitters
SCES_501.06,Fur_Fighters_-_Viggos_Revenge
SCES_501.09,7_Blades
SCES_501.10,EphemeralFantasia
SCES_501.26,Quake_III_-_Revolution
SCES_501.27,Quake_III_-_Revolution
SCES_501.34,Oni
SCES_501.76,Oni
SCES_501.77,Oni
SCES_501.85,Alone_in_the_Dark
SCES_502.03,Bloody_Roar_3
SCES_502.11,GauntletDarkLegacy
SCES_502.40,Extermination
SCES_502.46,AirBlade
SCES_502.47,Onimusha_-_Warlords
SCES_502.52,Choro_Q_-_Gadget_Racers
SCES_502.73,Legion_-_Legend_of_Excalibur
SCES_502.80,Hajime_no_Ippo
SCES_502.84,Silent_Scope_2_-_Dark_Silhouette
SCES_502.94,Gran_Turismo_3_-_A-Spec_PS2_Bundle
SCES_502.95,Dark_Cloud
SCES_503.06,Resident_Evil_CODE_Veronica_X
SCES_503.10,Stretch_Panic
SCES_503.25,Max_Payne
SCES_503.26,Max_Payne
SCES_503.30,Grand_Theft_Auto_III
SCES_503.50,Tarzan_Untamed
SCES_503.54,Klonoa_2_-_Lunateas_Veil
SCES_503.55,Batman_-_Vengeance
SCES_503.58,Devil_May_Cry
SCES_503.60,Twisted_Metal_-_Black
SCES_503.61,Jak_and_Daxter_-_The_Precursor_Legacy
SCES_503.82,Silent_Hill_2
SCES_503.84,Fatal_Frame_2
SCES_503.86,Crash_Bandicoot_-_The_Wrath_of_Cortex
SCES_504.08,PaRappa_the_Rapper_2
SCES_504.10,Ace_Combat_4_-_Shattered_Skies
SCES_504.11,Vampire_Night
SCES_504.12,Pro_Evolution_Soccer
SCES_504.43,LEGO_Racers_2
SCES_504.45,Burnout
SCES_504.57,Rayman_Arena
SCES_504.59,DropshipUnitedPeaceForce
SCES_504.62,Pro_Evolution_Soccer
SCES_504.64,FIFA_2002
SCES_504.65,FIFA_2002
SCES_504.66,FIFA_2002
SCES_504.67,FIFA_2002
SCES_504.69,FIFA_2002
SCES_504.70,FIFA_2002
SCES_504.71,FIFA_2002
SCES_504.77,WWF_SmackDown_-_Just_Bring_It
SCES_504.81,Vexx
SCES_504.84,Rayman_Arena
SCES_504.87,Looney_Tunes_-_Space_Race
SCES_504.90,Final_Fantasy_X
SCES_504.91,Final_Fantasy_X
SCES_504.92,Final_Fantasy_X
SCES_504.93,Final_Fantasy_X
SCES_504.94,Final_Fantasy_X
SCES_505.00,Headhunter
SCES_505.04,Half-Life
SCES_505.05,Half-Life
SCES_505.06,Half-Life
SCES_505.07,Half-Life
SCES_505.08,Half-Life
SCES_505.09,Half-Life
SCES_505.22,Disneys_-_Peter_Pan_-_Adventures_in_Neverland
SCES_505.26,Disneys_-_Peter_Pan_-_Adventures_in_Neverland
SCES_505.31,Disneys_-_Peter_Pan_-_Adventures_in_Neverland
SCES_505.39,007_-_Agent_Under_Fire
SCES_505.40,Simpsons_The_-_Road_Rage
SCES_505.46,LMA_Manager_2002
SCES_505.47,LMA_Manager_2002
SCES_505.48,LMA_Manager_2002
SCES_505.92,No_One_Lives_Forever
SCES_506.12,Space_Channel_5_-_Part_2
SCES_506.14,Jak_and_Daxter_-_The_Precursor_Legacy
SCES_506.28,Simpsons_The_-_Road_Rage
SCES_506.33,Gitaroo_Man
SCES_506.50,Resident_Evil_-_Survivor_2_Code_-_Veronica
SCES_506.53,Gitaroo_Man
SCES_506.72,Baldurs_Gate_-_Dark_Alliance
SCES_506.79,Tenchu_-_Wrath_of_Heaven
SCES_506.84,Medal_of_Honour_-_Frontline
SCES_507.03,Maximo_-_Ghosts_to_Glory
SCES_507.17,Mortal_Kombat_-_Deadly_Alliance
SCES_507.23,TOCA_Race_Driver
SCES_507.25,V-Rally_3
SCES_507.35,Jade_Cocoon_2
SCES_507.60,Ico
SCES_507.69,Mister_Mosquito
SCES_507.73,Disneys_Platyrhynchos_Kineticus_-_Out_of_the_Shadows
SCES_507.93,Grand_Theft_Auto_III
SCES_507.96,FIFA_World_Cup_2002
SCES_507.97,FIFA_World_Cup_2002
SCES_507.98,FIFA_World_Cup_2002
SCES_507.99,FIFA_World_Cup_2002
SCES_508.00,FIFA_World_Cup_2002
SCES_508.01,FIFA_World_Cup_2002
SCES_508.04,Deus_Ex_-_The_Conspiracy
SCES_508.05,Deus_Ex_-_The_Conspiracy
SCES_508.06,Deus_Ex_-_The_Conspiracy
SCES_508.07,Deus_Ex_-_The_Conspiracy
SCES_508.08,Deus_Ex_-_The_Conspiracy
SCES_508.16,TOCA_Race_Driver
SCES_508.18,TOCA_Race_Driver
SCES_508.21,Fatal_Frame
SCES_508.31,Star_Wars_-_Bounty_Hunter
SCES_508.32,Star_Wars_-_Bounty_Hunter
SCES_508.33,Star_Wars_-_Bounty_Hunter
SCES_508.34,Star_Wars_-_Bounty_Hunter
SCES_508.35,Star_Wars_-_Bounty_Hunter
SCES_508.36,Indiana_Jones_and_The_Emperors_Tomb
SCES_508.37,Indiana_Jones_and_The_Emperors_Tomb
SCES_508.38,Indiana_Jones_and_The_Emperors_Tomb
SCES_508.39,Indiana_Jones_and_The_Emperors_Tomb
SCES_508.40,Indiana_Jones_and_The_Emperors_Tomb
SCES_508.45,Medal_of_Honour_-_Frontline
SCES_508.46,Medal_of_Honour_-_Frontline
SCES_508.50,Gran_Turismo_-_Concept_2002_Tokyo-Seoul
SCES_508.58,Gran_Turismo_-_Concept_2002_Tokyo-Seoul
SCES_508.77,TimeSplitters_2
SCES_508.78,Tekken_4
SCES_508.85,Ape_Escape_2
SCES_508.87,Alpine_Racer_3
SCES_508.91,Legaia_2_-_Duel_Saga
SCES_508.98,X-Men_-_The_Next_Dimension
SCES_508.99,X-Men_-_The_Next_Dimension
SCES_509.00,X-Men_-_The_Next_Dimension
SCES_509.02,Conflict_-_Desert_Storm
SCES_509.05,Armored_Core_2_-_Another_Age
SCES_509.16,Ratchet_and_Clank
SCES_509.20,Kings_Field_IV
SCES_509.28,SOCOM_-_U.S._Navy_SEALs
SCES_509.30,Dino_Stalker
SCES_509.37,LEGO_Football_Mania
SCES_509.56,Ferrari_F355_Challenge
SCES_509.57,Disneys_Stitch_-_Experiment_626
SCES_509.59,Disneys_Stitch_-_Experiment_626
SCES_509.60,Disneys_Stitch_-_Experiment_626
SCES_509.64,Antz_Extreme_Racing
SCES_509.66,Disneys_Stitch_-_Experiment_626
SCES_509.67,Kingdom_Hearts
SCES_509.68,Kingdom_Hearts
SCES_509.69,Kingdom_Hearts
SCES_509.70,Kingdom_Hearts
SCES_509.71,Kingdom_Hearts
SCES_509.78,Onimusha_2_-_Samurais_Destiny
SCES_509.87,Resident_Evil_Outbreak
SCES_509.92,Hitman_2_-_Silent_Assassin
SCES_510.17,Scooby_Doo_-_Night_of_100_Frights
SCES_510.18,Scooby_Doo_-_Night_of_100_Frights
SCES_510.19,Scooby_Doo_-_Night_of_100_Frights
SCES_510.44,Burnout_2_-_Point_of_Impact
SCES_510.54,Midnight_Club_2
SCES_510.61,Grand_Theft_Auto_-_Vice_City
SCES_510.64,Gladius
SCES_510.65,Gladius
SCES_510.66,Gladius
SCES_510.95,Dino_Stalker
SCES_510.96,Dino_Stalker
SCES_511.02,Ape_Escape_2
SCES_511.03,Ape_Escape_2
SCES_511.04,Ape_Escape_2
SCES_511.05,Ape_Escape_2
SCES_511.09,Hitman_2_-_Silent_Assassin
SCES_511.13,Zone_of_the_Enders_-_The_2nd_Runner
SCES_511.14,Pro_Evolution_Soccer_2
SCES_511.17,Colin_McRae_Rally_3
SCES_511.30,Tony_Hawks_Pro_Skater_4
SCES_511.32,Tony_Hawks_Pro_Skater_4
SCES_511.56,Silent_Hill_2
SCES_511.57,Silent_Scope_3
SCES_511.59,The_Getaway
SCES_511.76,Disneys_Treasure_Planet
SCES_511.77,Disneys_Treasure_Planet
SCES_511.89,MTV_Celebrity_Deathmatch
SCES_511.90,Dark_Cloud_2
SCES_511.92,Harry_Potter_and_The_Chamber_of_Secrets
SCES_511.94,Harry_Potter_and_The_Chamber_of_Secrets
SCES_511.97,FIFA_2003
SCES_512.22,Rayman_Arena
SCES_512.24,War_of_the_Monsters_-_Kaijuu_Daigekisen
SCES_512.32,Power_Smash_2
SCES_512.33,DragonBall_Z_-_Budokai
SCES_512.36,Gungrave
SCES_512.44,XIII
SCES_512.48,Dogs_Life
SCES_512.58,007_-_Nightfire
SCES_512.60,007_-_Nightfire
SCES_512.83,WWE_SmackDown_-_Shut_Your_Mouth
SCES_512.84,Contra_-_Shattered_Soldier
SCES_512.85,Spongebob_Squarepants_-_Revenge_of_the_Flying_Dutchman
SCES_512.86,X-Men_Origins_-_Wolverine
SCES_512.87,X-Men_Origins_-_Wolverine
SCES_512.94,XIII
SCES_513.01,Disaster_Report
SCES_513.02,Bomberman_Kart
SCES_513.16,Grand_Theft_Auto_-_Vice_City
SCES_513.22,RoboTech-BattleCry
SCES_513.44,Guilty_Gear_XX
SCES_513.56,Choro_Q_-_Road_Trip_Adventure
SCES_514.00,Tenchu_-_Wrath_of_Heaven
SCES_514.01,Tenchu_-_Wrath_of_Heaven
SCES_514.02,Tenchu_-_Wrath_of_Heaven
SCES_514.03,Tenchu_-_Wrath_of_Heaven
SCES_514.26,The_Getaway
SCES_514.34,Silent_Hill_3
SCES_514.45,Rygar_-_The_Legendary_Adventure
SCES_514.48,Resident_Evil_-_Dead_Aim
SCES_514.63,Ghosthunter
SCES_514.73,Kya_-_Dark_Lineage
SCES_514.79,Def_Jam_-_Vendetta
SCES_514.80,Twisted_Metal_-_Black_-_Online_Demo
SCES_514.96,Breath_of_Fire_V_-_Dragon_Quarter
SCES_515.08,Hulk
SCES_515.10,Dancing_Stage_Fever
SCES_515.11,Crash-nitrokart
SCES_515.23,Conflict_-_Desert_Storm_2_-_Back_to_Baghdad
SCES_515.25,Fallout_-_Brotherhood_of_Steel
SCES_515.26,Fallout_-_Brotherhood_of_Steel
SCES_515.33,God_of_War
SCES_515.41,Grand_Theft_Auto_-_San_Andreas
SCES_515.57,Broken_Sword_-_The_Sleeping_Dragon
SCES_515.79,Yu-Gi-Oh_-_The_Duelists_of_the_Roses
SCES_515.80,London_Racer_World_Challenge
SCES_515.89,Resident_Evil_Outbreak
SCES_515.93,Hardware_Online_Arena_Beta_Promo_Full_Release
SCES_515.95,Grand_Theft_Auto_-_Vice_City
SCES_516.03,Bounty_Hunter_-_Seek_Destroy
SCES_516.08,Jak_II
SCES_516.18,SOCOM_-_U.S._Navy_SEALs
SCES_516.19,Clock_Tower_3
SCES_516.96,Dragons_Lair_3D_Special_Edition
SCES_517.06,Amplitude
SCES_517.14,BCV_-_Battle_Construction_Vehicles
SCES_517.19,Gran_Turismo_4
SCES_517.20,Disneys_Extreme_Skate_Adventure
SCES_517.53,True_Crime_-_Streets_of_LA
SCES_517.54,True_Crime_-_Streets_of_LA
SCES_517.55,Disney-Pixar_-_Finding_Nemo
SCES_517.57,Dancing_Stage_Fever
SCES_517.59,Maximo_vs_Army_of_Zin
SCES_517.85,Cool_Shot_-_Yukawa_Keiko_no_Professional_Billiard
SCES_518.14,ATV_Off-Road_Fury_2
SCES_518.24,Colin_McRae_Rally_4
SCES_518.39,DragonBall_Z_-_Budokai_2
SCES_518.40,NHL_Hitz_Pro
SCES_518.71,Disney-Pixar_-_Finding_Nemo
SCES_518.73,Medal_of_Honor_-_Rising_Sun
SCES_518.74,Medal_of_Honor_-_Rising_Sun
SCES_518.75,Medal_of_Honor_-_Rising_Sun
SCES_518.76,Medal_of_Honor_-_Rising_Sun
SCES_518.77,Bloody_Roar_4
SCES_518.83,Scooby_Doo_-_Mystery_Mayhem
SCES_518.97,Simpsons_-_Game_The
SCES_519.04,SOCOM_II_-_U.S._Navy_SEALs
SCES_519.10,Arc_the_Lad_-_Twilight_of_the_Spirits
SCES_519.11,Choro_Q_-_Gadget_Racers
SCES_519.12,Pro_Evolution_Soccer_3
SCES_519.14,Onimusha_3_Demon_Siege
SCES_519.15,Pro_Evolution_Soccer_3
SCES_519.16,Gako_Zouryuu_-_Crouching_Tiger_Hidden_Dragon
SCES_519.17,Beyond_Good_and_Evil
SCES_519.18,Prince_of_Persia_-_Sands_of_Time
SCES_519.20,Forbidden_Siren
SCES_519.33,Gregory_Horror_Show
SCES_519.34,Curse_-_The_Eye_of_Isis
SCES_519.50,Sonic_Heroes
SCES_519.53,FIFA_2004
SCES_519.54,Max_Payne_2_-_The_Fall_of_Max_Payne
SCES_519.63,FIFA_2004
SCES_519.64,FIFA_2004
SCES_519.66,Bombastic
SCES_519.67,Need_for_Speed_-_Underground
SCES_519.68,SpongeBob_SquarePants_-_The_Battle_for_Bikini_Bottoms
SCES_519.70,SpongeBob_SquarePants_-_The_Battle_for_Bikini_Bottoms
SCES_519.77,Hardware_Online_Arena_Beta_Promo_Full_Release
SCES_519.78,Broken_Sword_-_The_Sleeping_Dragon
SCES_520.04,Killzone
SCES_520.05,007_-_Everything_or_Nothing
SCES_520.33,Syphon_Filter_-_The_Omega_Strain
SCES_520.34,Dr_Seuss_Cat_in_the_Hat
SCES_520.36,WWE_SmackDown_-_Here_Comes_the_Pain
SCES_520.46,007_-_Everything_or_Nothing
SCES_520.55,Harry_Potter_and_The_Philosophers_Stone
SCES_520.56,Harry_Potter_and_The_Philosophers_Stone
SCES_520.95,GradiusV
SCES_520.99,I-Ninja
SCES_521.02,HugoBukkazoom
SCES_521.18,Castlevania_-_Lament_of_Innocence
SCES_521.22,Crime_Life_-_Gang_Wars
SCES_521.24,Kill_Switch
SCES_521.32,Hitman_-_Contracts
SCES_521.33,Hitman_-_Contracts
SCES_521.35,Hitman_-_Contracts
SCES_521.36,Hitman_-_Contracts
SCES_521.43,Carmen_Sandiego_-_The_Secret_of_The_Stolen_Drums
SCES_521.56,Ghosthunter
SCES_522.02,Downhill_Domination
SCES_522.14,Disneys_The_Haunted_Mansion
SCES_522.16,Disneys_The_Haunted_Mansion
SCES_522.37,hack_-_Infection
SCES_522.38,Nightshade
SCES_522.46,Pool_Paradise
SCES_522.58,SanGokuShiVIII
SCES_522.59,Outlaw_Volleyball_-_Remixed
SCES_522.76,187_-_Ride_or_Die
SCES_522.78,Mafia
SCES_522.79,Mafia
SCES_522.80,Mafia
SCES_522.82,Mafia
SCES_523.06,SOCOM_II_-_U.S._Navy_SEALs
SCES_523.14,HugoBukkazoom
SCES_523.25,Champions_of_Norrath_-_Realms_of_EverQuest
SCES_523.27,Forbidden_Siren
SCES_523.28,Forbidden_Siren
SCES_523.29,Forbidden_Siren
SCES_523.30,Forbidden_Siren
SCES_523.36,Max_Payne_2_-_The_Fall_of_Max_Payne
SCES_523.37,Max_Payne_2_-_The_Fall_of_Max_Payne
SCES_523.38,Max_Payne_2_-_The_Fall_of_Max_Payne
SCES_523.39,Crash_N_Burn
SCES_523.72,Spider-Man_2
SCES_523.84,Fatal_Frame_2
SCES_523.89,World_Rally_Championship_4
SCES_524.12,Jackie_Chan_Adventures
SCES_524.24,Ace_Combat_5_-_The_Unsung_War
SCES_524.38,Gran_Turismo_4_-_Prologue
SCES_524.40,Harry_Potter_and_The_Prisoner_of_Azkaban
SCES_524.45,Silent_Hill_4_-_The_Room
SCES_524.48,Knights_of_the_Temple
SCES_524.56,Ratchet_and_Clank_-_Up_Your_Arsenal
SCES_524.58,MakaiSenkiDisgaea
SCES_524.60,Jak_III
SCES_524.66,Ribbit_King
SCES_524.67,hack_-_Mutation
SCES_524.68,hack_Part_4_-_Quarantine
SCES_524.69,hack_-_Outbreak
SCES_524.80,Yu-Gi-Oh_-_The_Duelists_of_the_Roses
SCES_524.81,Hot_Wheels_-_Stunt_Track_Challenge
SCES_524.82,Steel_Dragon_EX
SCES_524.93,Spider-Man_2
SCES_524.95,Bujingai
SCES_525.08,Obscure
SCES_525.19,Pink_Pong
SCES_525.27,Harry_Potter_and_The_Prisoner_of_Azkaban
SCES_525.29,Sly_2_-_Band_of_Thieves
SCES_525.32,Aces_of_War
SCES_525.41,Grand_Theft_Auto_-_San_Andreas
SCES_525.45,Star_Wars_Battlefront
SCES_525.46,Star_Wars_Battlefront
